Source_AirportID,Source_Latitude,Source_Longitude,Destination_AirportID,Destination_Latitude,Destination_Longitude
2812.0,-13.535722,-71.938781,2808.0,-12.613611,-69.228611
6067.0,-9.878811,-76.204797,2789.0,-12.021889,-77.114319
2801.0,-3.784739,-73.308806,2781.0,-8.377939,-74.574297
2801.0,-3.784739,-73.308806,2806.0,-6.508742,-76.373247
2789.0,-12.021889,-77.114319,2786.0,-13.154819,-74.204417
2789.0,-12.021889,-77.114319,2812.0,-13.535722,-71.938781
2789.0,-12.021889,-77.114319,6067.0,-9.878811,-76.204797
2789.0,-12.021889,-77.114319,2781.0,-8.377939,-74.574297
2789.0,-12.021889,-77.114319,2806.0,-6.508742,-76.373247
2781.0,-8.377939,-74.574297,2801.0,-3.784739,-73.308806
2781.0,-8.377939,-74.574297,2789.0,-12.021889,-77.114319
2781.0,-8.377939,-74.574297,2806.0,-6.508742,-76.373247
2808.0,-12.613611,-69.228611,2812.0,-13.535722,-71.938781
2806.0,-6.508742,-76.373247,2801.0,-3.784739,-73.308806
2806.0,-6.508742,-76.373247,2789.0,-12.021889,-77.114319
2806.0,-6.508742,-76.373247,2781.0,-8.377939,-74.574297
253.0,5.261386,-3.926294,247.0,11.160056,-4.330969
253.0,5.261386,-3.926294,246.0,12.353194,-1.512417
248.0,5.605186,-0.166786,246.0,12.353194,-1.512417
1044.0,12.533544,-7.949944,253.0,5.261386,-3.926294
1044.0,12.533544,-7.949944,1084.0,14.739708,-17.490225
1044.0,12.533544,-7.949944,246.0,12.353194,-1.512417
247.0,11.160056,-4.330969,253.0,5.261386,-3.926294
247.0,11.160056,-4.330969,246.0,12.353194,-1.512417
245.0,6.357228,2.384353,298.0,6.165611,1.254511
245.0,6.357228,2.384353,246.0,12.353194,-1.512417
1084.0,14.739708,-17.490225,1044.0,12.533544,-7.949944
1084.0,14.739708,-17.490225,246.0,12.353194,-1.512417
298.0,6.165611,1.254511,246.0,12.353194,-1.512417
280.0,13.481547,2.183614,246.0,12.353194,-1.512417
246.0,12.353194,-1.512417,253.0,5.261386,-3.926294
246.0,12.353194,-1.512417,248.0,5.605186,-0.166786
246.0,12.353194,-1.512417,1044.0,12.533544,-7.949944
246.0,12.353194,-1.512417,247.0,11.160056,-4.330969
246.0,12.353194,-1.512417,245.0,6.357228,2.384353
246.0,12.353194,-1.512417,1084.0,14.739708,-17.490225
246.0,12.353194,-1.512417,298.0,6.165611,1.254511
246.0,12.353194,-1.512417,280.0,13.481547,2.183614
2709.0,4.701594,-74.146947,2673.0,-2.157419,-79.883558
2709.0,4.701594,-74.146947,2688.0,-0.141144,-78.488214
2715.0,3.543222,-76.381583,2673.0,-2.157419,-79.883558
2673.0,-2.157419,-79.883558,2709.0,4.701594,-74.146947
2673.0,-2.157419,-79.883558,2715.0,3.543222,-76.381583
2673.0,-2.157419,-79.883558,6045.0,-0.910206,-89.61745
2673.0,-2.157419,-79.883558,2688.0,-0.141144,-78.488214
2670.0,-0.462886,-76.986842,2688.0,-0.141144,-78.488214
6045.0,-0.910206,-89.61745,2673.0,-2.157419,-79.883558
2688.0,-0.141144,-78.488214,2709.0,4.701594,-74.146947
2688.0,-0.141144,-78.488214,2673.0,-2.157419,-79.883558
2688.0,-0.141144,-78.488214,2670.0,-0.462886,-76.986842
1506.0,40.657633,17.947033,1678.0,47.464722,8.549167
1264.0,44.828335,-0.715556,1678.0,47.464722,8.549167
490.0,51.382669,-2.719089,1678.0,47.464722,8.549167
1665.0,46.238064,6.10895,1054.0,27.931886,-15.386586
1197.0,34.875117,33.62485,1678.0,47.464722,8.549167
1054.0,27.931886,-15.386586,1678.0,47.464722,8.549167
4197.0,25.557111,34.583711,1678.0,47.464722,8.549167
1056.0,28.044475,-16.572489,1665.0,46.238064,6.10895
1678.0,47.464722,8.549167,1506.0,40.657633,17.947033
1678.0,47.464722,8.549167,1264.0,44.828335,-0.715556
1678.0,47.464722,8.549167,490.0,51.382669,-2.719089
1678.0,47.464722,8.549167,1197.0,34.875117,33.62485
1678.0,47.464722,8.549167,1054.0,27.931886,-15.386586
1678.0,47.464722,8.549167,4197.0,25.557111,34.583711
730.0,65.590278,19.281944,719.0,64.548322,18.716219
737.0,59.651944,17.918611,715.0,67.132408,20.814636
737.0,59.651944,17.918611,709.0,56.691128,12.820211
737.0,59.651944,17.918611,688.0,57.757594,14.068731
737.0,59.651944,17.918611,718.0,63.048597,17.768856
737.0,59.651944,17.918611,5595.0,59.4447,13.3374
737.0,59.651944,17.918611,719.0,64.548322,18.716219
737.0,59.651944,17.918611,442.0,60.122203,19.898156
737.0,59.651944,17.918611,722.0,63.408339,18.990039
737.0,59.651944,17.918611,448.0,61.461686,21.799983
737.0,59.651944,17.918611,664.0,59.186703,10.258628
737.0,59.651944,17.918611,746.0,57.662797,18.346211
737.0,59.651944,17.918611,729.0,64.579083,16.833575
737.0,59.651944,17.918611,711.0,56.929144,14.727994
715.0,67.132408,20.814636,737.0,59.651944,17.918611
715.0,67.132408,20.814636,718.0,63.048597,17.768856
709.0,56.691128,12.820211,737.0,59.651944,17.918611
709.0,56.691128,12.820211,688.0,57.757594,14.068731
709.0,56.691128,12.820211,711.0,56.929144,14.727994
5599.0,65.806111,15.082778,729.0,64.579083,16.833575
688.0,57.757594,14.068731,737.0,59.651944,17.918611
688.0,57.757594,14.068731,709.0,56.691128,12.820211
